(GPS) Geometrical Product Specification,geometrical product specification
Integrity Constraint,integrity constraint
Intellectual Property,intellectual property
Intellectual Property Rights,intellectual property
intelligence,intelligence
Intelligent Agent,intelligent agent
intelligent agentintelligent agent,intelligent agent
intelligent agents,intelligent agent
Intelligent De-sign,intelligent design
intelligent design-support,intelligent design support
intelligent functions,intelligent function
Intelligent knowledge based systems.,intelligent knowledge based system
Intelligent Manufacturing,intelligent manufacturing
intelligent modelling,intelligent modeling
intelligent PDM,intelligent product data management
intelligent PLM,intelligent product lifecycle management
Intelligent product,intelligent product
intelligent product definition procedures,intelligent product definition procedure
Intelligent products,intelligent product
intelligent searching,intelligent searching
intelligent software,intelligent software
intelligent system,intelligent system
intelligent systems,intelligent system
Intent detection,intent detection
inter-organizational relationships,interorganizational relationship
Interaction,interaction
Interaction system,interaction system
Interactions,interaction
