name;harmonized keywords
heterogeneous cloud;heterogeneous cloud
Heterogeneous communication standards;heterogeneous communication standard
heterogeneous gateways;heterogeneous gateway
Heterogeneous Mixture Learning Technology;heterogeneous mixture Learning technology
Heterogeneous multi-connectivity;heterogeneous multi connectivity
heterogeneous networks;heterogeneous network
Heterogeneous object modeling;heterogeneous object modeling
Heterogeneous Processor Architecture;heterogeneous processor architecture
Heterogeneous robots;heterogeneous robot
heterogeneous sensor data;heterogeneous sensor data
Heterogenous scaffolds;heterogenous scaffold
Heuristic;heuristic
Heuristics;heuristic
heuristics;heuristic
Heuristic algorithm;heuristic algorithm
heuristic graph coloring;heuristic graph coloring
heuristic graph coloringe;heuristic graph coloring
Heuristic searches;heuristic search
Hibiscus cannabinus L;hibiscus cannabinus 
Hidden Markov models;hidden markov model
Hidden markov models;hidden markov model
HMM;hidden Markov model
Hierarchical;hierarchical
hierarchical data transmission framework;hierarchical data transmission framework
hierarchical database;hierarchical database
Hierarchical mesh segmentation method;hierarchical mesh segmentation method
hierarchical model;hierarchical model
Hierarchical Scaffolds;hierarchical scaffold
hierarchical scheduling;hierarchical scheduling
Hierarchically structured objects;hierarchically structured object
High accuracy;high accuracy
High-availability Seamless Redundancy (HSR);high availability seamless redundancy 
High-availability seamless redundancy (HSR);high availability seamless redundancy 
high branching ratio;high branching ratio
High branching ratio;high branching ratio
high-definition interface;high definition interface
High efficiency;high efficiency
High-efficiency machining;high efficiency machining
high-efficiency machining;high efficiency machining
High-end equipment manufacturing;high end equipment manufacturing
High-end Equipment Manufacturing;high end equipment manufacturing
High-end machine tool;high end machine tool
High-end manufacturing;high end manufacturing
high-end manufacturing industry;high end manufacturing industry
High energy beam;high energy beam
High fill factor;high fill factor
High-frequency;high frequency
High-frequency ultrasound;high frequency ultrasound
high high-speed nanomanufacturing;high high speed nanomanufacturing
high-intensity pulsed ion beam;high intensity pulsed ion beam
High-level synthesis;high level synthesis
HMLV manufacturing;high mix low volume manufacturing
High performance;high performance
High-performance;high performance
High performance computing;high performance computing
HPC;high performance computing
high performance computing (HPC);high performance computing
High performance counter-current;high performance counter current
High performance counter-current chromatography;high performance counter current chromatography
HPCCC;high performance counter current chromatography
High Performance Cutting;high Performance cutting
High performance manufacturing;high performance manufacturing
High Performance Manufacturing;high performance manufacturing
high performance work system;high performance work system
High performance work system;high performance work system
High performance work systems;high performance work system
High power diesel engine;high power diesel engine
High power laser;high power laser
High precision;high precision
high precision metrology;high precision metrology
High precision metrology;high precision metrology
High pressure die casting;high pressure die casting
Hpdc;high pressure die casting
High purity;high purity
High reliability;high reliability
high-reliability;high reliability
high resolution management;high resolution management
HRTEM;high resolution transmission electron microscopy
High sensitivity;high sensitivity
High speed;high speed
High speed cutting;high speed
High-speed and high-accuracy;High speed and high accuracy
High Speed Cutting(HSC);high speed cutting
High-Speed Cutting;high speed cutting
High-speed cutting;high speed cutting
high-speed fabrication;high speed fabrication
High-speed fabrication;high speed fabrication
high-speed machinery;high speed machinery
High speed machining;high speed machining
High-speed machining;high speed machining
UGV;high speed machining
High speed milling;high speed milling
High-speed mobile Internet;high speed mobile internet
high-speed nanomanufacturing;high speed nanomanufacturing
High-speed trains;high speed train
High-strength materials;high strength material
High strength steel;high strength steel
High-tech Industries;high tech industrie
High-tech industries;high tech industrie
High temperature;high temperature
High temperature fatigue;high temperature fatigue
High temperatures creep;high temperatures creep
high-throughput;high throughput
High value;high value
high value;high value
High value manufacturing;high value manufacturing
High-value manufacturing;high value manufacturing
high variety production;high variety production
high voltage;high voltage
High voltage switch;high voltage switch
HV switchgear;high voltage switchgear
Higher education;higher education
higher education;higher education
Higher Education;higher education
Higher education quality;higher education quality
Higher Engineering Education;higher engineering education
Higher level;higher level
higher school talents training;higher school talent training
higher vocational colleges;higher vocational college
Higher vocational education;higher vocational education
higher vocational education;higher vocational education
Hilbert Huang transform;hilbert Huang transform
History;history
history;history
History of western futures studies;history of western future study
History of work;history of work
History of Work;history of work
HIT;hit
Hitozukuri;Hitozukuri
HMB;HMB 
Hobson's choice;Hobson's choice
Holdover;holdover
Hole drilling;hole drilling
Hole quality;hole quality
holistic approach;holistic approach
Holistic ironmaking;holistic ironmaking
hollow turbine blade;hollow turbine blade
HoloLens;HoloLens
holon;holon
Holon;holon
Holons;holon
Holonic;holonic
Holonic architecture;holonic architecture
Holonic casting;holonic casting
Holonic control;holonic control
Holonic Control Solution;holonic control solution
holonic granule;holonic granule
Holonic manufacturing;holonic manufacturing
Holonic Manufacturing Concept;holonic manufacturing concept
Holonic manufacturing system;holonic manufacturing system
Holonic Manufacturing System;holonic manufacturing system
holonic manufacturing system;holonic manufacturing system
Holonic manufacturing systems;holonic manufacturing system
Holonic Manufacturing Systems (HMS);holonic manufacturing system
Holonic Multi-Agent Systems;holonic multi agent system
Holonic paradigm;holonic paradigm
Holonic principles for process simulation;holonic principl for process simulation
holonic systems;holonic system
Holonic systems;holonic system
Holonicsystems;holonic system
home;home
home automation;home automation
Home fabrication;home fabrication
Home Office Scientific Development Branch;home office scientific development branch
homography estimation;homography estimation
Homography estimation;homography estimation
Honeypot;honeypot
Hong Kong;hong kong
hook sensing;hook sensing
horizontal integration;horizontal integration
Horizontal integration;horizontal integration
HOSHIN KANRI;hoshin kanri
Hospital;hospital
hospitality;hospitality
Hospitality;hospitality
HOT;hot
Hot/cold rolling;hot cold rolling
Hot forming;hot forming
Hot isostatic pressing;hot isostatic pressing
Hot punching;hot punching
Hot stamping;hot stamping
hot stamping;hot stamping
hot work steel;hot work steel
hot work tools;hot work tool
Hotel;hotel
House of Quality;house of quality
House of quality;house of quality
HRC;HRC 
HS;HS 
Hsc;HSC 
HSR;HSR 
HTCPN;HTCPN 
hubs and spokes;hub and spoke
Human-in-the-loop;huma in the loop
Human;human
human affect monitoring;human affect monitoring
Human- and taskcentered assistance systems;human and taskcentered assistance system
Human-centered assembly;human automation symbiosis
human behavior;human behavior
Human capital;human capital
human-centered design;human centered assembly
Human centered automation;human centered automation
Human-centered design;human centered design
